id,name,officialNameStatus,programmeComponent,recordClass,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,sourceDocument,sourceSection,sourceItemCode,sourcePage,reportingLevel,lowestReportingLevel,relatedIndicatorIds,crosswalkStatus,url
IND-RMNCHA2-014,Newborns weighing less than 2.5 kg to newborns weighed at birth,Verbatim source-table label,Postnatal maternal and newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Newborns weighed at birth,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-14,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-029,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-015,Newborns visited within 24hrs of home delivery to total reported home deliveries,Verbatim source-table label,Postnatal maternal and newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total reported home deliveries,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-15,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-016,Infants 0 to 11 months old who received Measles vaccine to reported live births,Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Reported live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-16,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-010,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-017,Pregnant women <19 yrs old to total women registered for ANC,Verbatim source-table label,Adolescent and pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total women registered for ANC,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-17,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-018,Home Based New born Care (HBNC) visit by ASHA to planned visits,Verbatim source-table label,Community newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Planned HBNC visits,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-18,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-019,Children 9–11 months fully immunised to children 9–11 months due for immunisation,Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children aged 9–11 months due for immunisation,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-19,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-HMIS-IND-006,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-020,Children with diarrhoea who were treated with ORS to children reported with diarrhoea,Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children reported with diarrhoea,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-20,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-021,Children with diarrhoea who were treated with ORS and Zinc to children reported with diarrhoea,Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children reported with diarrhoea,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-21,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-022,Children discharged live from SNCUs to number of admissions in SNCUs,Verbatim source-table label,Facility-based newborn care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Admissions in SNCUs,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-22,PDF pages 75–76,Facility; block; district; state; national,Facility/community,IND-RMNCHA-005,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-023,Children with ARI who received treatment to children reported with ARI,Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children reported with ARI,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,HMIS-23,PDF pages 75–76,Facility; block; district; state; national,Facility/community,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-024,Under-five mortality rate,Verbatim source-table label,Mortality,,Rate per population,"per 1,000 live births","(numerator ÷ denominator) × 1,000",Live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-01,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-032,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-025,Infant mortality rate,Verbatim source-table label,Mortality,,Rate per population,"per 1,000 live births","(numerator ÷ denominator) × 1,000",Live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-02,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-031,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-026,Neonatal mortality rate,Verbatim source-table label,Mortality,,Rate per population,"per 1,000 live births","(numerator ÷ denominator) × 1,000",Live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-03,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-030,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-027,"Maternal mortality ratio (per 100,000 live births)",Verbatim source-table label,Mortality,,Ratio,"per 100,000 live births","(numerator ÷ denominator) × 100,000",Live births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-04,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-035,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-028,Total Fertility Rate,Verbatim source-table label,Fertility,,Rate per population,births per woman,(numerator ÷ denominator) × scale factor,Women of reproductive age represented by the source fertility model,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-05,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-029,Births to women during age 15–19 out of total births,Verbatim source-table label,Adolescent health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Total births,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-06,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-030,Children with birth weight less than 2.5 Kg,Verbatim source-table label,Nutrition,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children weighed at birth,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-07,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-029,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-031,Children under 3 years who are underweight,Verbatim source-table label,Nutrition,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children under 3 years assessed,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-08,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-032,Child sex ratio 0–6,Verbatim source-table label,Gender,,Ratio,"girls per 1,000 boys","(numerator ÷ denominator) × 1,000",Boys aged 0–6 years,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-09,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-028,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-033,Full Immunization,Verbatim source-table label,Immunization,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children aged 12–23 months,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-10,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-006,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-034,Household having access to toilet facility,Verbatim source-table label,Cross-cutting,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Households surveyed,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-11,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-035,Couple using spacing method for more than 6 months,Verbatim source-table label,Family planning,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Eligible couples assessed,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-12,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-036,ORT or Increased Fluids for Diarrhoea (Among children <2 year of age who had diarrhoea in preceding 2 weeks),Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children under 2 with diarrhoea in the preceding 2 weeks,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-13,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-037,Care Seeking for ARI in any health facility (Among children <2 year of age who had ARI in preceding 2 weeks),Verbatim source-table label,Child health,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children under 2 with ARI in the preceding 2 weeks,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-14,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-038,Woman who received 4+ ANC,Verbatim source-table label,Pregnancy care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Women with a recent birth assessed by the survey,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-15,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-039,"Skilled Birth Attendance (Delivery by Doctor, ANM/Nurse/LHV)",Verbatim source-table label,Child birth,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Births assessed by the survey,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-16,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-016,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-040,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/other health personnel within 2 days of delivery for their last birth (%),Verbatim source-table label,Postnatal care,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Mothers with a last birth assessed by the survey,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-17,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-041,Early Initiation of Breast Feeding (<1hr),Verbatim source-table label,Infant and young child feeding,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Last-born children assessed by the survey,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-18,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,IND-HMIS-IND-027,Curated concept link to existing HMIS indicator; definitions remain separate,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-042,Exclusive Breast feeding for 6 months (among 6–9 months children),Verbatim source-table label,Infant and young child feeding,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children aged 6–9 months assessed by the survey,"A Strategic Approach to Reproductive, Maternal, Newborn, Child and Adolescent Health (RMNCH+A) in India",Annexure 2: Score Card,SURVEY-19,PDF pages 75–76,National; state; district where survey design permits,District where survey design permits,,No reviewed main-registry crosswalk yet,https://nhm.gov.in/images/pdf/RMNCH%2BA/RMNCH%2BA_Strategy.pdf
IND-RMNCHA2-043,Facility has assessed Labour Room and OT using NQAS checklist and reported Baseline Quality Scores and indicators,Verbatim source-table label,Labour room and maternity OT quality,,Index,compliance status,Source-defined assessment or summary statistic,Facility compliance assessment,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-01,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-044,Facility has set Quality Team at facility level and Quality Circles in Labour Room & Maternity OTs,Verbatim source-table label,Labour room and maternity OT quality,,Index,compliance status,Source-defined assessment or summary statistic,Facility compliance assessment,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-02,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-045,"Facility has oriented the Labour room and Maternity OT staff on LR protocols, RMC & QI",Verbatim source-table label,Labour room and maternity OT quality,,Index,compliance status,Source-defined assessment or summary statistic,Facility compliance assessment,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-03,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-046,At least 90% of deliveries are attended by a birth companion,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Deliveries in the facility,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-04,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-047,At least 90% deliveries are conducted using safe birth and Safe Surgery checklist in Labour Room and Maternity OT,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Deliveries and maternity surgeries in the facility,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-05,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-048,Partograph is generated using real-time information in at least 90% deliveries in Labour Rooms,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Deliveries in labour rooms,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-06,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-049,Achieved 80% percentage or more breastfeeding within 1 hour or at least 30% increment from baseline.,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Live births in the facility,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-07,PDF pages 41–42,Facility; district; state; national,Facility,IND-HMIS-IND-027,Curated concept link to existing HMIS indicator; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-050,Achieved 0% neonatal asphyxia rate in Labour Room or at least reduction of 20% from baseline,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Inborn live births in the labour room,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-08,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-051,Achieved 0% neonatal sepsis rate in-born babies or at least reduction of 20% from baseline,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Inborn live births,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-09,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
IND-RMNCHA2-052,Achieved 5% or less Surgical Site infection Rate in Maternity OT or at least reduction of 30% from baseline,Verbatim source-table label,Labour room and maternity OT quality,,Percentage/proportion,%,(numerator ÷ denominator) × 100,Maternity OT surgical procedures,LaQshya — Labour Room Quality Improvement Initiative,Annexure C: Facility Level Targets for Incentives,LAQ-10,PDF pages 41–42,Facility; district; state; national,Facility,,No reviewed main-registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/RMNCH_MH_Guidelines/LaQshya-Guidelines.pdf
