aliasId,schemaId,occurrenceId,canonicalElementId,sourceLabel,canonicalLabel,aliasClass,moduleCode,reviewDecision,effectiveObservationDate,custodianValidation
HMIS-ALIAS-STATE-011,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0107,HMIS-DE-0015,Mascerated Stillbirth – Antepartum Stillbirth (28 weeks &above),Antepartum (Macerated) Still Birth,Reviewed alias,M4,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-012,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0129,HMIS-DE-0528,"Number of women of reproductive age (WRA) 20-49 years (non-pregnant, non-lactating), provided 4 Red Iron and folic acid (IFA) tablets in a month","Number of women of reproductive age (WRA) 20-49 years (non-pregnant, non- lactating), provided 4 Red Iron and folic acid (IFA) tablets in a month",Controlled normalized equivalent,M5,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-013,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0133,HMIS-DE-0395,Number of lactating mothers (of 0-6 months old child) having anaemia (Hb 8.1-11.9 g/dl),Number of lactatingmothers (of 0-6 months old child) having anaemia (Hb 8.1-11.9 g/dl),Controlled normalized equivalent,M5,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-014,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0136,HMIS-DE-0396,Number of lactating mothers (of 0-6 months old child) having severe anaemia (Hb <8 g/dl),Number of lactatingmothers (of 0-6 months old child) having severe anaemia (Hb <8 g/dl),Controlled normalized equivalent,M5,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-015,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0142,HMIS-DE-0285,Number of anaemic lactating mothers (of 0-6 months old child) put on treatment,Number of anaemic lactatingmothers (of 0-6 months old child) put on treatment,Controlled normalized equivalent,M5,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-016,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0144,HMIS-DE-0394,Number of lactating mothers (of 0-6 months old child) diagnosed with severe anaemia and put on treatment,Number of lactatingmothers (of 0-6 months old child) diagnosed with severe anaemia and put on treatment,Controlled normalized equivalent,M5,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-017,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0167,HMIS-DE-0452,Number of Post-abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,Number of Post-abortion (within 12 days of Spontaneous or surgical abortion) IUCD insertions,Controlled normalized equivalent,M8,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-018,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0185,HMIS-DE-0094,Complications following male sterilization,Complications followingmale sterilization,Controlled normalized equivalent,M8,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-019,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0187,HMIS-DE-0132,Failures following male sterilization,Failures followingmale sterilization,Controlled normalized equivalent,M8,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-020,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0189,HMIS-DE-0101,Deaths following male sterilization,Deaths followingmale sterilization,Controlled normalized equivalent,M8,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-021,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0292,HMIS-DE-0291,Number of beneficiaries who are registered at the ICTC centre.,Number of beneficiaries who are registered at the ICTC centre,Controlled normalized equivalent,M13,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-022,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0294,HMIS-DE-0292,Number of beneficiaries who are registered at the NCD clinic.,Number of beneficiaries who are registered at the NCD clinic,Controlled normalized equivalent,M13,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-023,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0351,HMIS-DE-0177,Inpatient - Pyrexia of unknown origin (PUO),Inpatient - Pyrexia of Unknown Origin (PUO),Controlled normalized equivalent,M14,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-024,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0379,HMIS-DE-0220,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology.","Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology",Controlled normalized equivalent,M14,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-025,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0395,HMIS-DE-0471,Number ofpregnant women provided - Free Home to facility transport for conducting delivery under JSSK,Number of pregnant women provided - Free Home to facility transport for conducting delivery under JSSK,Reviewed alias,M14,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-026,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0416,HMIS-DE-0691,Total number of UHND/VHND sessions conducted in the reporting month,Total number of UHND/VHND sessions conducted in the reportingmonth,Controlled normalized equivalent,M14,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-027,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0417,HMIS-DE-0686,Total number of Outreach/Special Outreach camps conducted in the reporting month,Total number of Outreach/Special Outreach camps conducted in the reportingmonth,Controlled normalized equivalent,M14,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-028,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0454,HMIS-DE-0256,No. of females (non-ANC) subjected to HIV test at Confirmatory Centre/Stand Alone-ICTC,No. of females (non-ANC) subjected to HIV test at Confirmatory Centre/Stand Alone- ICTC,Controlled normalized equivalent,M15,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-029,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0504,HMIS-DE-0382,Number of Infant Deaths (>28 days - below 12 months) due to Diarrhoea,Number of Infant Deaths (>28 days -below 12 months) due to Diarrhoea,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-030,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0505,HMIS-DE-0383,Number of Infant Deaths (>28 days - below 12 months) due to Fever related,Number of Infant Deaths (>28 days -below 12 months) due to Fever related,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-031,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0506,HMIS-DE-0384,Number of Infant Deaths (>28 days - below 12 months) due to Measles,Number of Infant Deaths (>28 days -below 12 months) due to Measles,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-032,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0507,HMIS-DE-0385,Number of Infant Deaths (>28 days - below 12 months) due to Others,Number of Infant Deaths (>28 days -below 12 months) due to Others,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-033,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0508,HMIS-DE-0307,Number of Child Deaths (1 - below 5 years) due to Pneumonia,Number of Child Deaths (1 -below 5 years) due to Pneumonia,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-034,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0509,HMIS-DE-0303,Number of Child Deaths (1 - below 5 years) due to Diarrhoea,Number of Child Deaths (1 -below 5 years) due to Diarrhoea,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-035,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0510,HMIS-DE-0304,Number of Child Deaths (1 - below 5 years) due to Fever related,Number of Child Deaths (1 -below 5 years) due to Fever related,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-036,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0511,HMIS-DE-0305,Number of Child Deaths (1 - below 5 years) due to Measles,Number of Child Deaths (1 -below 5 years) due to Measles,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
HMIS-ALIAS-STATE-037,HMIS-RPTSCHEMA-STATE-20260901-001,HMIS-RPTCOL-STATE-0512,HMIS-DE-0306,Number of Child Deaths (1 - below 5 years) due to Others,Number of Child Deaths (1 -below 5 years) due to Others,Controlled normalized equivalent,M16,Accepted canonical link,2026-09-01,Pending
