indicatorId,indicatorName,formula,numeratorText,denominatorText,currentNumeratorCandidateIds,observedNumeratorElementIds,observedNumeratorOccurrenceIds,currentDenominatorCandidateIds,observedDenominatorElementIds,observedDenominatorOccurrenceIds,externalDenominatorRequired,computabilityAssessment,lowestPotentialGeography,decision,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"IND-HMIS-IND-013","Institutional delivery Rate (Public facilities )","(Numerator ÷ denominator) × 100","Deliveries at public institution/facility","Estimated deliveries","HMIS-DE-0350","HMIS-DE-0350","HMIS-RPTCOL-STATE-0342","HMIS-DE-0658","HMIS-DE-0658","HMIS-RPTCOL-STATE-0100","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated deliveries","% of deliveries conducted at public institution/facility. Denominator population: Estimated deliveries."
"IND-HMIS-IND-014","Institutional delivery Rate","(Numerator ÷ denominator) × 100","Deliveries at public and private institution/facility","Estimated deliveries","HMIS-DE-0601","HMIS-DE-0601","HMIS-RPTCOL-STATE-0114","HMIS-DE-0658","HMIS-DE-0658","HMIS-RPTCOL-STATE-0100","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated deliveries","% of deliveries conducted at public and private institution/facility. Denominator population: Estimated deliveries."
"IND-HMIS-IND-015","Home Delivery Rate","(Numerator ÷ denominator) × 100","Number of home deliveries","Estimated deliveries","HMIS-DE-0104; HMIS-DE-0369; HMIS-DE-0370","HMIS-DE-0370","HMIS-RPTCOL-STATE-0087","HMIS-DE-0658","HMIS-DE-0658","HMIS-RPTCOL-STATE-0100","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Estimated deliveries","% of deliveries conducted at home. Denominator population: Estimated deliveries."
"IND-HMIS-IND-016","Skilled Birth Attendant (SBA) Delivery Rate","(Numerator ÷ denominator) × 100","Deliveries by SBA (SBA Home + all Institutional deliveries)","Total reported deliveries","HMIS-DE-0370","HMIS-DE-0370","HMIS-RPTCOL-STATE-0087","HMIS-DE-0301","HMIS-DE-0301","HMIS-RPTCOL-STATE-0310","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total reported deliveries","Proportion of total deliveries assisted by a Skilled Birth Attendant (at home and at institutions). Denominator population: Total reported deliveries."
"IND-HMIS-IND-017","Caesarean section rate","(Numerator ÷ denominator) × 100","Number. of caesarian section done","Total institutional deliveries (Caesarean section + Normal delivery)","HMIS-DE-0262","HMIS-DE-0262","HMIS-RPTCOL-STATE-0380","HMIS-DE-0577","HMIS-DE-0577","HMIS-RPTCOL-STATE-0090","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total institutional deliveries (Caesarean section + Normal delivery)","Proportion of C- section deliveries out of total reported institutional deliveries. Denominator population: Total institutional deliveries (Caesarean section + Normal delivery)."
"IND-HMIS-IND-018","PNC (within 48hrs) rate","(Numerator ÷ denominator) × 100","Number of women who received post partum check-ups within 48 hrs after deliver","Reported deliveries (Institutional + Home)","HMIS-DE-0531","HMIS-DE-0531","HMIS-RPTCOL-STATE-0146","HMIS-DE-0010","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Reported deliveries (Institutional + Home)","% of women who received post natal care checkup done within 48 hrs of delivery. Denominator population: Reported deliveries (Institutional + Home)."
"IND-HMIS-IND-019","PNC (between 48hrs & 14 days)rate","(Numerator ÷ denominator) × 100","Number of women who received post partum check-ups between 48 hrs and 14 days of delivery","Reported deliveries (Institutional + Home)","HMIS-DE-0531","HMIS-DE-0531","HMIS-RPTCOL-STATE-0146","HMIS-DE-0010","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Reported deliveries (Institutional + Home)","% of women who received post natal care checkup done between 48 hrs and 14 days of delivery. Denominator population: Reported deliveries (Institutional + Home)."
"IND-HMIS-IND-020","Contraceptive prevalence Rate (all methods)","(Numerator ÷ denominator) × 100","All FP Users {sterilization(m ale & female)+IUD Inserted +Condom/72+ OCP/13}","Number of eligible couples","HMIS-DE-0133","","","","","","true","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Number of eligible couples","Proportion of eligible couples using family planningmethod. Denominator population: Number of eligible couples."
"IND-HMIS-IND-021","Sterilization coverage rate","Numerator ÷ denominator; multiplier not stated","","","","","","","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","","Not specified","Numerator ÷ denominator; multiplier not stated","Not supplied in registry metadata; consult the authoritative source","Coverage contribution of sterilization to overall family planningmethod. Denominator population: Not supplied in registry metadata; consult the authoritative source."
"IND-HMIS-IND-022","IUD","Numerator ÷ denominator; multiplier not stated","","","","","","","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","","Not specified","Numerator ÷ denominator; multiplier not stated","Not supplied in registry metadata; consult the authoritative source","Coverage contribution of IUD to overall family planningmethod. Denominator population: Not supplied in registry metadata; consult the authoritative source."
"IND-HMIS-IND-023","OCP","(Numerator ÷ denominator) × 100","OCP USERS(OCP Cycles /13)","eligible couples","HMIS-DE-0328","HMIS-DE-0328","HMIS-RPTCOL-STATE-0178","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of OCP to overall family planningmethod -. Denominator population: eligible couples."
"IND-HMIS-IND-024","Condoms","(Numerator ÷ denominator) × 100","Condom users(condom pieces distributed /72)","eligible couples","HMIS-DE-0330","HMIS-DE-0330","HMIS-RPTCOL-STATE-0179","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of OCP to overall family planningmethod -. Denominator population: eligible couples."
"IND-HMIS-IND-025","Proportion of Limitingmethods","(Numerator ÷ denominator) × 100","all sterilizations(male &Female)","All FP Users","HMIS-DE-0228","","","HMIS-DE-0355","HMIS-DE-0355","HMIS-RPTCOL-STATE-0154","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","All FP Users","Coverage contribution of sterilization(all) to overall family planningmethod. Denominator population: All FP Users."
"IND-HMIS-IND-026","Proportion of Spacingmethods","(Numerator ÷ denominator) × 100","IUD Users++OCP Users+ Condom Users","eligible couples","HMIS-DE-0330","HMIS-DE-0330","HMIS-RPTCOL-STATE-0179","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of spacing (all) to overall family planningmethod. Denominator population: eligible couples."
"IND-HMIS-IND-027","% newborns breastfed < 1 hour","(Numerator ÷ denominator) × 100","New born breastfed within one hour of birth","Total live births (as recorded)","HMIS-DE-0427","HMIS-DE-0427","HMIS-RPTCOL-STATE-0120","HMIS-DE-0399","HMIS-DE-0399","HMIS-RPTCOL-STATE-0067","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total live births (as recorded)","Percentage of new born babies breastfed within one hour of birth. Denominator population: Total live births (as recorded)."
"IND-HMIS-IND-028","Sex ratio at birth","(Numerator ÷ denominator) × 1000","Live Births females","Live Births males","HMIS-DE-0399","HMIS-DE-0399","HMIS-RPTCOL-STATE-0067","HMIS-DE-0399","HMIS-DE-0399","HMIS-RPTCOL-STATE-0067","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Ratio","per 1,000","(Numerator ÷ denominator) × 1000","Live Births males","Number of females born per 1000 males born in a give time period. Denominator population: Live Births males."
"IND-HMIS-IND-029","Low birth weight rate","(Numerator ÷ denominator) × 100","Live births with a birth weight < 2500g.","Live births weighed","HMIS-DE-0215","","","HMIS-DE-0399","HMIS-DE-0399","HMIS-RPTCOL-STATE-0067","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Live births weighed","Percentage of live born infants with a Birth weight under 2,500 grams. Denominator population: Live births weighed."
"IND-HMIS-IND-030","Neonatal mortality rate","(Numerator ÷ denominator) × 1000","Deaths in first 28 days","Live births","HMIS-DE-0238; HMIS-DE-0249; HMIS-DE-0242","HMIS-DE-0249; HMIS-DE-0242","HMIS-RPTCOL-STATE-0495; HMIS-RPTCOL-STATE-0499","","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Live births","Neonatal mortality rate (NNMR) measures the number of live-born babies dying within 28 completed days of life per 1,000 live births. Denominator population: Live births."
"IND-HMIS-IND-031","Infant Death rate(IDR)","(Numerator ÷ denominator) × 1000","Deaths of infants less than one year old (Neonatal death plus deaths in 1-12 months)","live births","HMIS-DE-0160","","","","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","live births","Infant Death rate (IDR) measures the number of deaths of infants under one year of age per 1,000 live births. Denominator population: live births."
"IND-HMIS-IND-032","Under 5 Mortality Rate","(Numerator ÷ denominator) × 1000","Deaths Neonatal + Deaths infant + Deaths 1-5 years","live births","HMIS-DE-0154; HMIS-DE-0032; HMIS-DE-0306","HMIS-DE-0154; HMIS-DE-0306","HMIS-RPTCOL-STATE-0548; HMIS-RPTCOL-STATE-0512","","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","live births","Under-five mortality rate measures the number of children who die before their fifth birthday per 1000 live births. Denominator population: live births."
"IND-HMIS-IND-033","Peri Natal Mortality Rate (PNMR)","(Numerator ÷ denominator) × 1000","Deaths Peri- natal (still births plus early neonatal in first week)","Live Births.","HMIS-DE-0238","","","","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Live Births.","Peri-natal deaths comprise still births (gestation over 228 weeks / >1000 grams weight) plus early neonatal deaths (infants dying within 7 days). Denominator population: Live Births.."
"IND-HMIS-IND-034","Still birth rate","Numerator ÷ denominator; multiplier not stated","Total no. of still births","Total births (Live birth + Still birth)","HMIS-DE-0619","","","HMIS-DE-0619","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","","Not specified","Numerator ÷ denominator; multiplier not stated","Total births (Live birth + Still birth)","Still birth rate. Denominator population: Total births (Live birth + Still birth)."
"IND-HMIS-IND-035","Maternal Mortality Ratio","(Numerator ÷ denominator) × 1,00,000","Deaths Maternal","Number of live births","HMIS-DE-0230; HMIS-DE-0633; HMIS-DE-0009","HMIS-DE-0009","HMIS-RPTCOL-STATE-0520","","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Ratio","per 100,000","(Numerator ÷ denominator) × 1,00,000","Number of live births","The death of a woman while pregnant or within 42 days of delivery or termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental causes. Denominator population: Number of live births."
"IND-HMIS-IND-036","ANC Moderately anaemic rate(Hb<11gm)","(Numerator ÷ denominator) × 100","Pregnant women having tested for anaemia ,Hb<11g","Total ANC registered","HMIS-DE-0496","HMIS-DE-0496","HMIS-RPTCOL-STATE-0059","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Percentage of pregnant women tested to be moderately anaemic (Hb level <11g). Denominator population: Total ANC registered."
"IND-HMIS-IND-037","ANC hypertension new case detection rate","(Numerator ÷ denominator) × 100","Pregnant women detected BP>140/90","Total ANC registered","HMIS-DE-0606","","","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Percentage of pregnant women detected with hypertension/ high blood pressure (BP>140/90). Denominator population: Total ANC registered."
"IND-HMIS-IND-038","ANC severely anaemic treated rate","(Numerator ÷ denominator) × 100","Severely anaemic pregnant women treated (Hb<7g)","Total ANC registration","HMIS-DE-0504","HMIS-DE-0504","HMIS-RPTCOL-STATE-0060","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registration","Percentage of severely anaemic pregnant women treated ( Hb level <7g). Denominator population: Total ANC registration."
"IND-HMIS-IND-039","Eclampsia management rate","(Numerator ÷ denominator) × 100","Number of eclampsia cases managed during delivery","Total deliveries (home + institution)","HMIS-DE-0352; HMIS-DE-0457","HMIS-DE-0352; HMIS-DE-0457","HMIS-RPTCOL-STATE-0055; HMIS-RPTCOL-STATE-0054","HMIS-DE-0104; HMIS-DE-0369","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total deliveries (home + institution)","% of eclampsia cases managed during delivery. Denominator population: Total deliveries (home + institution)."
"IND-HMIS-IND-040","JSY registration rate","(Numerator ÷ denominator) × 100","Total JSY registration","Total ANC registered","HMIS-DE-0028","HMIS-DE-0028","HMIS-RPTCOL-STATE-0279","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of pregnant women who were registered under JSY scheme. Denominator population: Total ANC registered."
"IND-HMIS-IND-041","% Institutional Delivery Receiving JSY Benefit","(Numerator ÷ denominator) × 100","Institutional Delivery women received JSY benefits","No. of pregnant women registered for JSY","HMIS-DE-0531","HMIS-DE-0531","HMIS-RPTCOL-STATE-0146","HMIS-DE-0681","HMIS-DE-0681","HMIS-RPTCOL-STATE-0036","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","No. of pregnant women registered for JSY","Proportion of women who had institutional delivery received JSY benefit. Denominator population: No. of pregnant women registered for JSY."
"IND-HMIS-IND-042","IPD as percentage of OPD","(Numerator ÷ denominator) × 100","Total IPD","Total OPD","HMIS-DE-0084; HMIS-DE-0187; HMIS-DE-0199","","","HMIS-DE-0659; HMIS-DE-0660; HMIS-DE-0626","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Proportion of IPD out of total OPD. Denominator population: Total OPD."
