occurrenceId,schemaId,columnOrdinal,moduleCode,moduleTitle,sourceCode,exactSourceLabel,canonicalElementId,canonicalElementLabel,matchMethod,labelRelation,moduleCompatibility,codeAlignment,canonicalObservedCodes,reconciliationStatus,reviewBasis,reviewStatus,candidateElementId
HMIS-RPTCOL-JH-0051,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,51,M1,Ante Natal Care (ANC),1.3.1,New cases of PW with hypertension detected,HMIS-DE-0251,New cases of PW with hypertension detected,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.3.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0052,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,52,M1,Ante Natal Care (ANC),1.3.2,Number of PW with hypertension managed at institution,HMIS-DE-0505,Number of PW with hypertension managed at institution,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.3.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0053,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,53,M1,Ante Natal Care (ANC),1.3.3,Number of New Pre-Eclampsia/Eclampsia cases identified,HMIS-DE-0424,Number of New Pre-Eclampsia/Eclampsia cases identified,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.3.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0054,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,54,M1,Ante Natal Care (ANC),1.3.4,Number of Pre-Eclampsia/Eclampsia cases managed during ANC,HMIS-DE-0457,Number of Pre-Eclampsia/Eclampsia cases managed during ANC,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.3.4,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0055,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,55,M1,Ante Natal Care (ANC),1.3.5,Number of Eclampsia cases managed during delivery,HMIS-DE-0352,Number of Eclampsia cases managed during delivery,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.3.5,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0056,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,56,M1,Ante Natal Care (ANC),1.4.1,Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs,HMIS-DE-0501,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.4.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0057,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,57,M1,Ante Natal Care (ANC),1.4.2,Number of PW tested for Haemoglobin (Hb),HMIS-DE-0502,Number of PW tested for Haemoglobin (Hb),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.4.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0058,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,58,M1,Ante Natal Care (ANC),1.4.3,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),HMIS-DE-0495,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.4.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0059,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,59,M1,Ante Natal Care (ANC),1.4.4,Number of PW having Hb level<=7 g/dl (Out of total tested cases),HMIS-DE-0496,Number of PW having Hb level<=7 g/dl (Out of total tested cases),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.4.4,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0060,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,60,M1,Ante Natal Care (ANC),1.4.5,Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases),HMIS-DE-0504,Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.4.5,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0061,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,61,M1,Ante Natal Care (ANC),1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),HMIS-DE-0500,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.5.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0062,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,62,M1,Ante Natal Care (ANC),1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,HMIS-DE-0503,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.5.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0063,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,63,M1,Ante Natal Care (ANC),1.5.3,Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM,HMIS-DE-0358,Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.5.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0064,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,64,M1,Ante Natal Care (ANC),1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,HMIS-DE-0485,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.6.1.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0065,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,65,M1,Ante Natal Care (ANC),1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,HMIS-DE-0483,Number of pregnant/DIL women found seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.6.1.b,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0066,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,66,M1,Ante Natal Care (ANC),1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),HMIS-DE-0484,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.6.1.c,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0067,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,67,M1,Ante Natal Care (ANC),1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,HMIS-DE-0399,Number of live births among Syphilis seropositive Pregnant Women,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.6.1.d,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0068,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,68,M1,Ante Natal Care (ANC),1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis,HMIS-DE-0290,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.6.1.e,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0069,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,69,M1,Ante Natal Care (ANC),1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment",HMIS-DE-0538,"Out of above, babies with congenital Syphilis received curative treatment",Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.6.1.f,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0070,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,70,M1,Ante Natal Care (ANC),1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,HMIS-DE-0478,Number of Pregnant Women tested positive for Thyroid disorder,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.7.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0071,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,71,M1,Ante Natal Care (ANC),1.7.2,Number of Pregnant Women treated for thyroid disorder,HMIS-DE-0479,Number of Pregnant Women treated for thyroid disorder,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.7.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0072,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,72,M1,Ante Natal Care (ANC),1.8.1,Number of Pregnant Women screened for TB,HMIS-DE-0476,Number of Pregnant Women screened for TB,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0073,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,73,M1,Ante Natal Care (ANC),1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,HMIS-DE-0468,Number of Pregnant Women identified with Presumptive TB symptoms,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0074,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,74,M1,Ante Natal Care (ANC),1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms,HMIS-DE-0475,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.7.3; 1.8.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0075,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,75,M1,Ante Natal Care (ANC),1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,HMIS-DE-0632,Total High Risk Pregnancy (HRP) Intrapartum including following:,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.9.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0076,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,76,M1,Ante Natal Care (ANC),1.9.1.a,Number of Pregnant Women only with Post-Partum Haemorrhage(Immediately after delivery) in the facility,HMIS-DE-0469,Number of Pregnant Women only with Post-Partum Haemorrhage (Immediately after delivery) in the facility,Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,1.8.1.a; 1.9.1.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0077,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,77,M1,Ante Natal Care (ANC),1.9.1.b,Number of Pregnant Women only with Sepsis in the facility,HMIS-DE-0470,Number of Pregnant Women only with Sepsis in the facility,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.1.b; 1.9.1.b,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0078,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,78,M1,Ante Natal Care (ANC),1.9.1.c,Number of Pregnant Women identified only with Eclampsia in the facility,HMIS-DE-0465,Number of Pregnant Women identified only with Eclampsia in the facility,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.1.c; 1.9.1.c,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0079,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,79,M1,Ante Natal Care (ANC),1.9.1.d,Number of Pregnant Women identified only with obstructed labour in the facility,HMIS-DE-0466,Number of Pregnant Women identified only with obstructed labour in the facility,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.1.d; 1.9.1.d,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0080,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,80,M1,Ante Natal Care (ANC),1.9.1.e,Number of Pregnant Women identified with more than 1 complication listed above,HMIS-DE-0467,Number of Pregnant Women identified with more than 1 complication listed above,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.1.e; 1.9.1.e,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0081,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,81,M1,Ante Natal Care (ANC),1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),HMIS-DE-0631,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.9.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0082,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,82,M1,Ante Natal Care (ANC),1.9.3,Total no. of highrisk ANC cases referred to Higher/ any other facility (Referred out),HMIS-DE-0639,Total no. of highrisk ANC cases referred to Higher/ any other facility (Referred out),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.9.3,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0083,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,83,M1,Ante Natal Care (ANC),1.9.3.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases referred to Higher/ any other facility (Referred out),HMIS-DE-0641,Total no. of Intrapartum/PNC High Risk Pregnancy cases referred to Higher/ any other facility (Referred out),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.8.3.a; 1.9.3.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0084,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,84,M1,Ante Natal Care (ANC),1.9.4,Total no. of highrisk ANC cases referred in to the facility (Referred in),HMIS-DE-0638,Total no. of highrisk ANC cases referred in to the facility (Referred in),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.9.4,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0085,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,85,M1,Ante Natal Care (ANC),1.9.4.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases attended or referred into the facility (Referred in),HMIS-DE-0640,Total no. of Intrapartum/PNC High Risk Pregnancy cases attended or referred into the facility (Referred in),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,1.9.4.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0086,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,86,M2,Deliveries,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),HMIS-DE-0371,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,2.1.1.a,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0087,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,87,M2,Deliveries,2.1.1.b,Number of Home Deliveries attended by Non SBA,HMIS-DE-0370,Number of Home Deliveries attended by Non SBA,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,2.1.1.b,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0088,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,88,M2,Deliveries,2.1.2,Number of PW given Tablet Misoprostol during home delivery,HMIS-DE-0491,Number of PW given Tablet Misoprostol during home delivery,Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,2.1.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0089,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,89,M2,Deliveries,2.2,Number of Institutional Deliveries conducted (Including C-Sections),HMIS-DE-0389,Number of Institutional Deliveries conducted (Including C-Sections),Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,2.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0090,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,90,M2,Deliveries,2.2.1,"Out of total institutional deliveries(excluding C-section), number of women stayed for 48 hours or more after delivery",HMIS-DE-0577,"Out of total institutional deliveries(excluding C-section), number of women stayed for 48 hours or more after delivery",Deterministic normalized-label match,Exact source label,Compatible,Existing observed code,2.2.1,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
HMIS-RPTCOL-JH-0091,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,91,M2,Deliveries,2.2.2,"Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C-Sections) conducted at night (8 PM- 8 AM)",HMIS-DE-0578,"Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C- Sections) conducted at night (8 PM- 8 AM)",Deterministic normalized-label match,Controlled normalized equivalent,Compatible,Existing observed code,2.2.2,Accepted canonical link,"Header, controlled normalization, module context and canonical April-2025 element dictionary",Analyst-reviewed deterministic rule; custodian validation pending,
