occurrenceId,sourceCode,sourceLabel,canonicalElementId,reportFacilityApplicability,reportFormatApplicability,reportServiceContext,canonicalCandidateFacilityTypes,applicabilityDecision,doubleCountingGuard
HMIS-RPTCOL-JH-0046,1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets,HMIS-DE-0497,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0047,1.2.5,Number of PW provided full course 360 Calcium tablets,HMIS-DE-0498,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0048,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,HMIS-DE-0490,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0049,1.2.7,Number of PW received 4 or more ANC check ups,HMIS-DE-0499,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0050,1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,HMIS-DE-0489,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0051,1.3.1,New cases of PW with hypertension detected,HMIS-DE-0251,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0052,1.3.2,Number of PW with hypertension managed at institution,HMIS-DE-0505,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0053,1.3.3,Number of New Pre-Eclampsia/Eclampsia cases identified,HMIS-DE-0424,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0054,1.3.4,Number of Pre-Eclampsia/Eclampsia cases managed during ANC,HMIS-DE-0457,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0055,1.3.5,Number of Eclampsia cases managed during delivery,HMIS-DE-0352,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0056,1.4.1,Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs,HMIS-DE-0501,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0057,1.4.2,Number of PW tested for Haemoglobin (Hb),HMIS-DE-0502,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0058,1.4.3,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),HMIS-DE-0495,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0059,1.4.4,Number of PW having Hb level<=7 g/dl (Out of total tested cases),HMIS-DE-0496,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0060,1.4.5,Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases),HMIS-DE-0504,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0061,1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),HMIS-DE-0500,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0062,1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,HMIS-DE-0503,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0063,1.5.3,Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM,HMIS-DE-0358,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0064,1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,HMIS-DE-0485,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0065,1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,HMIS-DE-0483,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0066,1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),HMIS-DE-0484,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0067,1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,HMIS-DE-0399,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0068,1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis,HMIS-DE-0290,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0069,1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment",HMIS-DE-0538,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0070,1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,HMIS-DE-0478,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0071,1.7.2,Number of Pregnant Women treated for thyroid disorder,HMIS-DE-0479,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0072,1.8.1,Number of Pregnant Women screened for TB,HMIS-DE-0476,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0073,1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,HMIS-DE-0468,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0074,1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms,HMIS-DE-0475,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0075,1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,HMIS-DE-0632,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0076,1.9.1.a,Number of Pregnant Women only with Post-Partum Haemorrhage(Immediately after delivery) in the facility,HMIS-DE-0469,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0077,1.9.1.b,Number of Pregnant Women only with Sepsis in the facility,HMIS-DE-0470,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0078,1.9.1.c,Number of Pregnant Women identified only with Eclampsia in the facility,HMIS-DE-0465,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0079,1.9.1.d,Number of Pregnant Women identified only with obstructed labour in the facility,HMIS-DE-0466,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0080,1.9.1.e,Number of Pregnant Women identified with more than 1 complication listed above,HMIS-DE-0467,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0081,1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),HMIS-DE-0631,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0082,1.9.3,Total no. of highrisk ANC cases referred to Higher/ any other facility (Referred out),HMIS-DE-0639,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0083,1.9.3.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases referred to Higher/ any other facility (Referred out),HMIS-DE-0641,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0084,1.9.4,Total no. of highrisk ANC cases referred in to the facility (Referred in),HMIS-DE-0638,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0085,1.9.4.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases attended or referred into the facility (Referred in),HMIS-DE-0640,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0086,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),HMIS-DE-0371,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0087,2.1.1.b,Number of Home Deliveries attended by Non SBA,HMIS-DE-0370,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0088,2.1.2,Number of PW given Tablet Misoprostol during home delivery,HMIS-DE-0491,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0089,2.2,Number of Institutional Deliveries conducted (Including C-Sections),HMIS-DE-0389,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0090,2.2.1,"Out of total institutional deliveries(excluding C-section), number of women stayed for 48 hours or more after delivery",HMIS-DE-0577,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0091,2.2.2,"Out of total Institutional deliveries, number of Institutional Deliveries (Excluding C-Sections) conducted at night (8 PM- 8 AM)",HMIS-DE-0578,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0092,2.2.3,"Out of total Institutional deliveries, number of institutional deliveries conducted at Midwifery Led Care Unit (MLCU)",HMIS-DE-0579,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0093,2.3.1,"Out of total number of delivery, PW with age less than <15 years",HMIS-DE-0585,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0094,2.3.2,"Out of total number of delivery, PW with age 15-19 years",HMIS-DE-0584,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0095,2.3.3,"Out of total number of delivery, PW with age more than >19-49 years",HMIS-DE-0587,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0096,2.3.4,"Out of total number of delivery, PW with age more than > 49 years",HMIS-DE-0586,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
HMIS-RPTCOL-JH-0097,2.4,Number of newborns received 6/7 HBNC visits after Delivery (Home+ Institutional),HMIS-DE-0430,Row-dependent; Facility Type column must be evaluated from data rows,Row-dependent; Format Type column must be evaluated from data rows,Row-dependent; In-facility/Outreach/Total column must be evaluated from data rows,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Do not infer from headers alone,Do not combine Total rows with corresponding in-facility/outreach component rows
