occurrenceId,schemaId,measureSequence,columnOrdinal,objectClass,moduleCode,moduleTitle,sourceCode,exactSourceLabel,rawHeader,state,reportNameAsProvided,downloadDate,reportingPeriod,columnSelection,formatTypeApplicability,facilityTypeApplicability,serviceDeliveryContext,sourceArtifact,sourceArtifactSha256,sourceVersion,versionStatus,canonicalElementId,reconciliationStatus,reviewStatus
HMIS-RPTCOL-JH-0046,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,11,46,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets,	1.2.4 :: Number of PW provided full course 180 Iron Folic Acid (IFA) tablets 	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0047,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,12,47,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.2.5,Number of PW provided full course 360 Calcium tablets,	1.2.5 :: Number of PW provided full course 360 Calcium tablets 	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0048,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,13,48,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.2.6,Number of PW given one Albendazole tablet after 1st trimester,	1.2.6 :: Number of PW given one Albendazole tablet after 1st trimester	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0049,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,14,49,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.2.7,Number of PW received 4 or more ANC check ups,	1.2.7 :: Number of PW received 4 or more ANC check ups	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0050,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,15,50,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,	1.2.8 :: Number of PW given ANC Corticosteroids in Pre-Term Labour	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0051,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,16,51,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.3.1,New cases of PW with hypertension detected,	1.3.1 :: New cases of PW with hypertension detected 	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0052,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,17,52,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.3.2,Number of PW with hypertension managed at institution,	1.3.2 :: Number of PW with hypertension managed at institution 	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0053,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,18,53,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.3.3,Number of New Pre-Eclampsia/Eclampsia cases identified,	1.3.3. :: Number of New Pre-Eclampsia/Eclampsia cases identified	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0054,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,19,54,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.3.4,Number of Pre-Eclampsia/Eclampsia cases managed during ANC,	1.3.4 :: Number of Pre-Eclampsia/Eclampsia cases managed during ANC	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0055,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,20,55,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.3.5,Number of Eclampsia cases managed during delivery,	1.3.5 :: Number of Eclampsia cases managed during delivery	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0056,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,21,56,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.4.1,Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs,	1.4.1. :: Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0057,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,22,57,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.4.2,Number of PW tested for Haemoglobin (Hb),	1.4.2. :: Number of PW tested for Haemoglobin (Hb)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0058,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,23,58,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.4.3,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),	1.4.3. :: Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0059,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,24,59,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.4.4,Number of PW having Hb level<=7 g/dl (Out of total tested cases),	1.4.4. :: Number of PW having Hb level<=7 g/dl (Out of total tested cases)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0060,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,25,60,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.4.5,Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases),	1.4.5. :: Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0061,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,26,61,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),	1.5.1. :: Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0062,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,27,62,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,	1.5.2. :: Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0063,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,28,63,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.5.3,Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM,	1.5.3. :: Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0064,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,29,64,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,	1.6.1.a :: Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0065,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,30,65,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,	1.6.1.b :: Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
HMIS-RPTCOL-JH-0066,HMIS-RPTSCHEMA-JHARKHAND-20260901-001,31,66,HMIS measure occurrence,M1,Ante Natal Care (ANC),1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),	1.6.1.c :: Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM)	,Jharkhand,HMIS report,2026-09-01,Unconfirmed,Default columns,Row-dependent; Format Type is an exported dimension and no row values were supplied,Row-dependent; Facility Type is an exported dimension and no row values were supplied,Row-dependent; In-facility/Outreach/Total is an exported dimension,HMIS-RPTSCHEMA-JHARKHAND-20260901-001.headers.txt,3CE7ECB1702D0A54BF41DA4ED990C2D166EC5A82915434662CC9D17A5CE6F6EF,Schema observed in Jharkhand HMIS export downloaded 2026-09-01,Observed report manifestation; national/current applicability not established,,Pending deterministic matching in Task 6,Source occurrence captured; semantic reconciliation pending
