research_id,data_element_label,analytic_component,facility_types,module_titles,observed_source_codes,source_locations,source_version,provenance_status,currentness_note
HMIS-FORM-0011,Albendazole 400 mg Tablets,"Medicines, supplies and equipment",District Headquarters,Other Items,1.6,District Headquarters p.1,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0012,Allopathic- Outpatient attendance,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.2.1; 13.2.1; 14.2.1,CHC p.12; Civil Hospital / SDH p.12; District Hospital p.11; HWC-PHC p.12; HWC-SC p.9; Medical College p.9,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0013,Anaemia- Identified & Treated,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2; 4.2; 5.2,Block Headquarters p.1; CHC p.5; Civil Hospital / SDH p.5; District Hospital p.5; HWC-PHC p.5; HWC-SC p.4,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0014,ANC services,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Ante Natal Care (ANC) Services & High Risk Pregnancies,1.2,CHC p.1; Civil Hospital / SDH p.1; District Hospital p.1; HWC-PHC p.1; HWC-SC p.1; Medical College p.1,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0015,Antepartum (Macerated) Still Birth,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Pregnancy outcome & details of new-born/children,3.1.3.b; 4.1.3.b,CHC p.4; Civil Hospital / SDH p.4; District Hospital p.4; HWC-PHC p.4; HWC-SC p.3; Medical College p.3,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0016,Average kilometres travelled by all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.5,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0017,Average kilometres travelled by all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.6,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0018,Average number of trips per day by all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.3,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0019,Average number of trips per day by all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.4,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0020,Average response time (call to scene) for all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.2,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0021,Average response time (call to scene) for all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.1,District Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0022,Ayush - Outpatient attendance,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.2.2; 13.2.2; 14.2.2,CHC p.12; Civil Hospital / SDH p.12; District Hospital p.12; HWC-PHC p.12; HWC-SC p.9; Medical College p.10,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0023,"Beneficiaries diagnosed with mild and moderate Anaemia, put on treatment",Anaemia and nutrition,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,4.2.3; 5.2.3,CHC p.5; Civil Hospital / SDH p.5; District Hospital p.5; HWC-PHC p.5; HWC-SC p.4,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0024,"Beneficiaries diagnosed with Severe Anaemia, put on treatment",Anaemia and nutrition,CHC; Civil Hospital / SDH; District Hospital,Anaemia Mukt Bharat,5.2.4,CHC p.5; Civil Hospital / SDH p.5; District Hospital p.5,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0025,Beneficiaries identified with Mild and Moderate Anaemia,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2.1; 4.2.1; 5.2.1,Block Headquarters p.1; CHC p.5; Civil Hospital / SDH p.5; District Hospital p.5; HWC-PHC p.5; HWC-SC p.4,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0026,Beneficiaries identified with Severe Anaemia,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2.2; 4.2.2; 5.2.2,Block Headquarters p.2; CHC p.5; Civil Hospital / SDH p.5; District Hospital p.5; HWC-PHC p.5; HWC-SC p.4,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0027,Biomedical Equipment Management & Maintenance Program,"Medicines, supplies and equipment",CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,QA (Quality Assurance) & BEMMP (Biomedical Equipment Management & Maintenance Program),16.2; 17.2,CHC p.21; Civil Hospital / SDH p.21; District Hospital p.20; HWC-PHC p.20; Medical College p.18,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0028,Boys registered in AFHC,Adolescent health,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Adolescent Health,12.1.1.b,CHC p.11; Civil Hospital / SDH p.11; District Hospital p.10; HWC-PHC p.11; Medical College p.9,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0029,Cause wise maternal deaths reported at block level (Home & Transit deaths),Mortality and death review,Block Headquarters,Mortality Details,3.3,Block Headquarters p.2,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0030,Chikungunya Enzyme- Linked Immuno Sorbent Assay (ELISA) test conducted,Vector-borne diseases,CHC; Civil Hospital / SDH; District Hospital; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.3.3,CHC p.10; Civil Hospital / SDH p.11; District Hospital p.10; Medical College p.8,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0031,Chikungunya Enzyme- Linked Immuno Sorbent Assay (ELISA) test found positive,Vector-borne diseases,Civil Hospital / SDH; District Hospital; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.3.4,Civil Hospital / SDH p.11; District Hospital p.10; Medical College p.8,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0032,Child Deaths between 1 - below 5 years due to,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.4; 15.4; 16.4,CHC p.19; Civil Hospital / SDH p.20; District Hospital p.18; HWC-PHC p.19; HWC-SC p.12; Medical College p.16,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0033,Child immunisation (9-11months) - JE 1st dose,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.2.3; 9.2.3,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0034,Child immunisation (9-11months) - Measles & Rubella (MR)/Measles containing vaccine(MCV) - 1st Dose,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.2.2; 9.2.2,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0035,Child immunisation (after 12 months-delayed vaccination) - JE 1st dose,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.2; 9.3.2,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0036,Child immunisation - BCG,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.2; 9.1.2,CHC p.7; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.7; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0037,Child immunisation - DPT 1 after 12 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.3; 9.3.3,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0038,Child immunisation - DPT 1st Booster,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.4.2; 9.4.2,CHC p.9; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.9; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0039,Child immunisation - DPT 2 after 12 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.4; 9.3.4,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0040,Child immunisation - DPT 3 after 12 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.5; 9.3.5,CHC p.8; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0041,Child immunisation - DPT Booster after 24 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.6; 9.3.6,CHC p.8; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0042,Child immunisation - Hepatitis-B0 (Birth Dose),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.10; 9.1.10,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0043,Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.11; 9.1.11,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0044,Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.12; 9.1.12,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0045,Child immunisation - JE Booster after 24 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.8; 9.3.8,CHC p.9; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0046,Child immunisation - Measles & Rubella (MR)/ Measles containing vaccine(MCV)- 2nd Dose (16-24 months),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.4.1; 9.4.1,CHC p.9; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0047,Child immunisation - OPV 0 (Birth Dose),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.6; 9.1.6,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0048,Child immunisation - OPV Booster,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.4.3; 9.4.3,CHC p.9; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.9; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0049,Child immunisation - OPV Booster after 24 months of age (delayed vaccination),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3.7; 9.3.7,CHC p.8; Civil Hospital / SDH p.9; District Hospital p.8; HWC-PHC p.8; HWC-SC p.7; Medical College p.7,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0050,Child immunisation - OPV1,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.7; 9.1.7,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0051,Child immunisation - OPV2,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.8; 9.1.8,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0052,Child immunisation - OPV3,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.9; 9.1.9,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0053,Child immunisation - PCV Booster,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.2.4; 9.2.4,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0054,Child immunisation - PCV1,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.16; 9.1.16,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0055,Child immunisation - PCV2,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.17; 9.1.17,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0056,Child immunisation - Pentavalent 1,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.3; 9.1.3,CHC p.7; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.7; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0057,Child immunisation - Pentavalent 2,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.4; 9.1.4,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.7; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0058,Child immunisation - Pentavalent 3,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.5; 9.1.5,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.7; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0059,Child immunisation - Rotavirus 1,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.13; 9.1.13,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.7; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
HMIS-FORM-0060,Child immunisation - Rotavirus 2,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.1.14; 9.1.14,CHC p.8; Civil Hospital / SDH p.8; District Hospital p.8; HWC-PHC p.8; HWC-SC p.6; Medical College p.6,Revised HMIS formats effective April 2025,Exact public form label; facility-specific codes retained; semantic normalization pending,Official state-hosted copy; confirm national implementation/version with MoHFW/NHSRC
